,Al,Co,Cr,Cu,Fe,Hf,Mn,Mo,Nb,Ni,Si,Ta,Ti,V,W,Zr,T (C),freeze_range,literature,mass_change,max_phase,max_phase_fraction,solidus,composition
2,0,30,0,0,15,0,0,0,0,5,20,0,0,30,0,0,1000,365.9990168,False,40.01633842,BCC_B2#2,0.512862392,866.8526324,Co30 V30 Si20 Fe15 Ni5 
7,0,0,0,40,10,0,0,0,0,20,30,0,0,0,0,0,1000,99.11161353,False,11.86328508,CU6NISI3,0.449713569,1157.259027,Cu40 Si30 Ni20 Fe10 
8,0,10,15,45,0,0,0,0,25,0,0,5,0,0,0,0,1000,466.998652,False,21.98738169,FCC_L12,0.453770193,1088.657416,Cu45 Nb25 Cr15 Co10 Ta5 
10,0,0,0,0,10,0,0,0,0,30,35,0,0,25,0,0,1000,392.4704293,False,18.67003072,CO2SI_C23,0.599999993,1204.657615,Si35 Ni30 V25 Fe10 
12,0,10,20,0,0,0,30,0,0,40,0,0,0,0,0,0,1000,42.11896961,False,3.248909925,FCC_L12,1.0,1185.034286,Ni40 Mn30 Cr20 Co10 
16,0,0,0,0,0,0,25,0,10,0,10,0,45,10,0,0,1000,276.4750579,False,43.49351461,BCC_B2,0.631046264,1159.083379,Ti45 Mn25 Nb10 Si10 V10 
18,0,15,45,0,5,0,0,0,25,0,0,0,0,0,0,10,1000,302.7023882,False,19.38246685,C14_LAVES,0.667045864,1368.549921,Cr45 Nb25 Co15 Zr10 Fe5 
20,0,0,0,0,10,0,35,0,0,0,0,0,5,25,0,25,1000,197.7886255,False,54.55144705,C14_LAVES,0.6151989,1024.528164,Mn35 V25 Zr25 Fe10 Ti5 
21,5,0,30,25,0,10,0,0,0,30,0,0,0,0,0,0,1000,482.0705825,False,1.133039007,NI7ZR2,0.297007427,945.8846617,Cr30 Ni30 Cu25 Hf10 Al5 
22,0,0,0,0,15,0,0,0,0,0,0,30,0,10,0,45,1000,757.8724016,False,29.47614699,BCC_B2#2,0.394023936,997.2592904,Zr45 Ta30 Fe15 V10 
23,0,0,0,20,0,15,10,0,40,0,15,0,0,0,0,0,1000,1020.437471,False,34.63175831,TA5SI3_D8L,0.399417109,879.863861,Nb40 Cu20 Hf15 Si15 Mn10 
24,15,20,0,0,0,5,25,0,35,0,0,0,0,0,0,0,1000,325.8614544,False,8.764640958,C14_LAVES,0.951217935,1314.460358,Nb35 Mn25 Co20 Al15 Hf5 
26,20,0,0,0,20,0,0,0,0,0,0,0,20,0,0,40,1000,279.0725537,False,6.151944214,AL3ZR5,0.521016814,953.9634752,Zr40 Al20 Fe20 Ti20 
28,0,5,0,0,0,0,15,0,0,0,45,25,0,10,0,0,1000,631.5308744,False,31.59086368,FESI_B20,0.4,884.8395318,Si45 Ta25 Mn15 V10 Co5 
31,0,20,0,10,0,0,0,0,0,30,5,0,0,35,0,0,1000,250.4719596,False,21.07893525,FCC_L12#3,0.543598574,865.7422435,V35 Ni30 Co20 Cu10 Si5 
33,20,0,0,0,0,30,0,0,0,30,0,5,15,0,0,0,1000,185.6358814,False,1.096100081,HEUSLER_L21,0.384100633,724.8238172,Hf30 Ni30 Al20 Ti15 Ta5 
