id,material name,T,Mo,Ni,W,Al,Cr,Ti,Si,Cu,Fe,Co,Mn,V,Zr,Hf,Ta,Nb,dm,classification
1,20Mo–20W–20Al–20Cr–20Ti ,1000,20,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,6.48,2
1,20Mo–20W–20Al–20Cr–20Ti ,1100,20,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,5.5045871559633,0
2,20Nb-20Mo-20Cr-20Ti-20Al ,900,20,0,0,20,20,20,0,0,0,0,0,0,0,0,0,20,0.447,0
2,20Nb-20Mo-20Cr-20Ti-20Al ,1000,20,0,0,20,20,20,0,0,0,0,0,0,0,0,0,20,2.77,0
2,20Nb-20Mo-20Cr-20Ti-20Al ,1100,20,0,0,20,20,20,0,0,0,0,0,0,0,0,0,20,5.38,0
3,20Ta-20Mo-20Cr-20Ti-20Al ,900,20,0,0,20,20,20,0,0,0,0,0,0,0,0,20,0,0.304,0
3,20Ta-20Mo-20Cr-20Ti-20Al ,1000,20,0,0,20,20,20,0,0,0,0,0,0,0,0,20,0,0.514,0
3,20Ta-20Mo-20Cr-20Ti-20Al ,1100,20,0,0,20,20,20,0,0,0,0,0,0,0,0,20,0,1.94,0
4,92Ni-6Cr-2Al,1000,0,92,0,2,6,0,0,0,0,0,0,0,0,0,0,0,5,1
4,92Ni-6Cr-2Al,1100,0,92,0,2,6,0,0,0,0,0,0,0,0,0,0,0,12.5,0
4,92Ni-6Cr-2Al,1200,0,92,0,2,6,0,0,0,0,0,0,0,0,0,0,0,25.46,1
5,94Ni-6Cr,1100,0,94,0,0,6,0,0,0,0,0,0,0,0,0,0,0,14.18,1
6,94Ni-6Al,1100,0,94,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12.52,1
7,64Ni-32Cr-4Al,1000,0,64,0,4,32,0,0,0,0,0,0,0,0,0,0,0,0.7,0
7,64Ni-32Cr-4Al,1100,0,64,0,4,32,0,0,0,0,0,0,0,0,0,0,0,2.2,1
7,64Ni-32Cr-4Al,1200,0,64,0,4,32,0,0,0,0,0,0,0,0,0,0,0,4.5,0
8,67Ni-33Cr,1000,0,67,0,0,33,0,0,0,0,0,0,0,0,0,0,0,1.4,0
8,67Ni-33Cr,1100,0,67,0,0,33,0,0,0,0,0,0,0,0,0,0,0,2.6,0
8,67Ni-33Cr,1200,0,67,0,0,33,0,0,0,0,0,0,0,0,0,0,0,4.6,0
9,74Ni-22Cr-4Al,1000,0,74,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0.4,0
9,74Ni-22Cr-4Al,1100,0,74,0,4,22,0,0,0,0,0,0,0,0,0,0,0,1.6,0
9,74Ni-22Cr-4Al,1200,0,74,0,4,22,0,0,0,0,0,0,0,0,0,0,0,2.23,0
10,58Ni-42Al,1000,0,58,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
10,58Ni-42Al,1100,0,58,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
10,58Ni-42Al,1200,0,58,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
11,67.5Ni-20.5Cr-12Al,1200,0,67.5,0,12,20.5,0,0,0,0,0,0,0,0,0,0,0,0.97,0
12,83Ni-5Cr-12Al,1000,0,83,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0.2,0
12,83Ni-5Cr-12Al,1100,0,83,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0.32,0
12,83Ni-5Cr-12Al,1200,0,83,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0.75,0
13,19.8Nb-19.8Mo-19.8Cr-19.8Ti-19.8Al-1Si,900,19.8,0,0,19.8,19.8,19.8,1,0,0,0,0,0,0,0,19.8,0,0.68,0
13,19.8Nb-19.8Mo-19.8Cr-19.8Ti-19.8Al-1Si,1000,19.8,0,0,19.8,19.8,19.8,1,0,0,0,0,0,0,0,19.8,0,2.27,0
13,19.8Nb-19.8Mo-19.8Cr-19.8Ti-19.8Al-1Si,1100,19.8,0,0,19.8,19.8,19.8,1,0,0,0,0,0,0,0,19.8,0,2.8,0
17,8Al-17Co-17Cr-8Cu-17Fe-Ni33,800,0,33,0,8,17,0,0,8,17,17,0,0,0,0,0,0,0.067,0
17,8Al-17Co-17Cr-8Cu-17Fe-Ni33,1000,0,33,0,8,17,0,0,8,17,17,0,0,0,0,0,0,0.33,0
18,23Al-15Co-23Cr-8Cu-15Fe-15Ni,800,0,15,0,23,23,0,0,8,15,15,0,0,0,0,0,0,0.092,0
18,23Al-15Co-23Cr-8Cu-15Fe-15Ni,1000,0,15,0,23,23,0,0,8,15,15,0,0,0,0,0,0,0.12,0
19,17Al-17Co-17Cr-17Cu-17Fe-17Ni,800,0,16.7,0,16.7,16.7,0,0,17,16.7,16.7,0,0,0,0,0,0,0.067,0
19,17Al-17Co-17Cr-17Cu-17Fe-17Ni,1000,0,16.7,0,16.7,16.7,0,0,17,16.7,16.7,0,0,0,0,0,0,0.1,0
20,33Co-33Fe-33Ni,800,0,33.3,0,0,0,0,0,0,33.3,33.3,0,0,0,0,0,0,4.4,2
20,33Co-33Fe-33Ni,900,0,33.3,0,0,0,0,0,0,33.3,33.3,0,0,0,0,0,0,9.2,2
20,33Co-33Fe-33Ni,1000,0,33.3,0,0,0,0,0,0,33.3,33.3,0,0,0,0,0,0,16.2,2
21,25Ni-25Cr-25Fe-25Co,750,0,25.1,0,0.15,24.5,0,0,0,24.95,24.78,0.52,0,0,0,0,0,0.044,0
21,25Co-25Cr-25Fe-25Ni,800,0,25,0,0,25,0,0,0,25,25,0,0,0,0,0,0,0.1,0
21,25Co-25Cr-25Fe-25Ni,900,0,25,0,0,25,0,0,0,25,25,0,0,0,0,0,0,1,0
21,25Co-25Cr-25Fe-25Ni,1000,0,25,0,0,25,0,0,0,25,25,0,0,0,0,0,0,1.6,0
22,20Co-20Cr-20Fe-20Ni-20Cu,800,0,20,0,0,20,0,0,20,20,20,0,0,0,0,0,0,0.48,1
22,20Co-20Cr-20Fe-20Ni-20Cu,900,0,20,0,0,20,0,0,20,20,20,0,0,0,0,0,0,1.16,0
22,20Co-20Cr-20Fe-20Ni-20Cu,1000,0,20,0,0,20,0,0,20,20,20,0,0,0,0,0,0,5.1,1
23,316 ss steel,800,1.7,11.2,0,0,17.7,0,1.5,0,62.4,0,2,0,0,0,0,0,0.1,0
23,316 ss steel,900,1.7,11.2,0,0,17.7,0,1.5,0,62.4,0,2,0,0,0,0,0,0.89,0
23,316 ss steel,1000,1.7,11.2,0,0,17.7,0,1.5,0,62.4,0,2,0,0,0,0,0,6.22,2
24,20Nb-20Cr-20Mo-20Ti-10Al,1300,20.01,0,0,9.97,24.7,23.5,0,0,0,0,0,0,0,0,0,21.81,150.26,2
25,20Nb-20Cr-20Mo-20V-10Al,1300,22.16,0,0,10.15,23.04,0,0,0,0,0,0,22.2,0,0,0,22.5,346.33,2
26,18Nb-18Cr-18Mo-18Ti-18V-8Al,1300,18.08,0,0,8.15,18.92,18.12,0,0,0,0,0,18.4,0,0,0,18.35,268.45,2
